Oc,media_erro,var_erro,desvio_padrao_erro
0,nan,nan,nan
10,-0.46179740423570464,989.6089489863157,31.458050622794726
20,-0.7901510794559917,1774.782097953458,42.128162764989625
30,-1.1028943278627774,2430.6113428141084,49.30123064198406
40,-1.5930191173892392,3119.546235075838,55.852898179734936
50,-1.868860889825301,3683.5375144424465,60.69215364808244
60,-2.1787350806972032,4107.811783459913,64.09221312655629
70,-2.6573833750970044,4519.656470521935,67.2283903609326
80,-2.9457427173172968,4798.080226628184,69.26817614625193
90,-3.3936729951527447,5009.545245785101,70.77814101673694
100,-3.7222022859398045,5049.444883821503,71.05944612661644
