n_ocupacao,media_MSE,var_MSE,DP_MSE
0,1.4432647193416235,0.02124113104675158,0.14574337393772516
10,174.3428078904981,411.0350486102153,20.27399932450959
20,322.5908335659634,1304.2427286807276,36.1143008887162
30,461.59454706015345,2409.8862313984932,49.09059208645271
40,594.8480302829283,3958.913687326661,62.91989897740349
50,719.5627796039125,5587.775713460805,74.75142616339039
60,839.3436406756689,7511.4631310446675,86.66869752710414
70,952.7154856064634,9579.927949360606,97.87710635976427
80,1058.4109339667064,11701.751417243584,108.1746338900372
90,1157.503320544074,13751.732189092509,117.26777984208837
100,1249.1080782457043,16071.573574074111,126.77371010613403
