n_ocupacao,media_SNR,var_SNR,DP_SNR
0,-inf,nan,nan
10,10.558823117487558,0.06949137032703939,0.2636121589135057
20,10.895175027081164,0.02124343989676121,0.14575129466581493
30,11.097767161374401,0.01081031800492733,0.10397267912739062
40,11.249321561918814,0.020929438914977103,0.1446701037359727
50,11.373987350242452,0.012603897550883127,0.11226708133234393
60,11.512723255866096,0.008650596970904374,0.09300858546878549
70,11.625609233714242,0.01294745251559054,0.1137868732129965
80,11.756914764055104,0.0051899134236856916,0.07204105373802976
90,11.859620076412492,0.03603095658482738,0.18981821984421668
100,12.002930873552131,0.0050690764374695055,0.0711974468465654
