n_ocupacao,media_DP,var_DP,DP_DP
0,0.14081524370919268,0.0034458125335309693,0.05870104371756067
10,24.41688529217539,6.5032863523119095,2.5501541820666276
20,30.7253132013708,10.036820364161205,3.168094121733318
30,34.286316246646194,11.464966473130877,3.3859956398570388
40,36.62153174920877,12.662789694876636,3.558481374810979
50,38.00767892559092,15.38929660416271,3.9229193981221067
60,38.798201286588736,15.597777570203192,3.949402178837095
70,39.445379962671666,16.57110364483902,4.07076204718957
80,39.96855842317509,16.77973322927546,4.096307267439231
90,40.95678620949224,17.039839100484496,4.127933999046556
100,41.09802072588223,17.681412759407397,4.204927200250606
