n_ocupacao,media_MSE,var_MSE,DP_MSE
10,2616.7786103202407,356527.3175351536,597.0990851903506
20,3188.178813956075,261933.856280278,511.79474037965457
30,3238.8395884389483,48270.71361242934,219.70597081651954
40,3147.8818849008676,38437.093075421144,196.05380148168805
50,2928.1335387070208,66949.72211182961,258.74644366991714
60,2688.476604074801,17920.150856840173,133.8661677080515
70,2382.2027615725146,14469.677093453432,120.28997087643438
80,2041.9650123576628,25011.198764809535,158.14929264719945
90,1729.096985146593,9009.782237141968,94.9198727197944
100,1361.4572917968294,10671.207812383567,103.3015382866275
