n_ocupacao,media_SNR,var_SNR,DP_SNR
0,nan,nan,nan
10,-33.83422985453763,0.2739098693519364,0.5233639931748614
20,-32.83088944369774,0.1588576105574122,0.39856945512346054
30,-32.05080763791964,0.13458948735267565,0.3668643991349878
40,-31.397250301096253,0.2661959676328909,0.515941825822341
50,-30.691806643452743,0.16164928782164503,0.4020563241905853
60,-30.063901606747383,0.19694577885378103,0.4437857352977685
70,-29.54580692122322,0.1547671449401266,0.39340455632863053
80,-29.0676661693785,0.2144194168265177,0.4630544426161115
90,-28.79292252063688,0.10634631878213043,0.3261078330585305
100,-28.35338936315628,0.15112388558105475,0.38874655700218713
