n_ocupacao,media_MSE,var_MSE,DP_MSE
0,0.0,0.0,0.0
10,73.33600572723456,371.5825535083255,19.27647668813794
20,321.1464790744556,3999.393966307113,63.240761904859376
30,652.8256624347838,10407.498093673297,102.01714607688895
40,1067.0020312630577,17251.98042855773,131.34679451192454
50,1566.5367927312043,42251.31918891929,205.55125684101105
60,2107.3087948074526,64183.08335299505,253.34380464695607
70,2643.2391551356927,95859.23805350061,309.6114307539381
80,3257.268734086455,138035.15039263063,371.530820245953
90,3828.729802507925,185544.26207651064,430.74849050984574
100,4290.555362721761,224548.50279485478,473.8654901919476
